theta,N,alpha,beta,mean_value,sd_value,mean_stopping_time,sd_stopping_time,mean_stopping_fraction,sd_stopping_fraction,upper_bound_time,upper_bound_fraction,relative_gap,early_stop_prob,n_success
0.5,50000,0.05,0.99,0.9900821073979479,6.575244066840128e-05,1759.306,83.46427339806979,0.03518612,0.0016692854679613948,1775.9753017136022,0.03551950603427204,0.009385998610182366,1.0,500
1.0,1000,0.01,0.8,0.8083475766946501,0.0063190695364259905,99.98,9.73103211236834,0.09998,0.00973103211236834,100.17997937110535,0.10017997937110534,0.0019962009611176196,1.0,500
1.0,1000,0.01,0.9,0.9051604437148938,0.003920604920254911,112.836,10.598951814170976,0.11283599999999999,0.010598951814170981,114.09179797935057,0.11409179797935057,0.011006908485900645,1.0,500
1.0,1000,0.01,0.95,0.9529626340920494,0.0023278351264946575,122.688,10.629611153119999,0.122688,0.01062961115312,125.5804179061513,0.1255804179061513,0.023032395929059958,1.0,500
1.0,1000,0.01,0.99,0.9907429182752593,0.0005955805495374859,143.214,11.264367534482526,0.143214,0.011264367534482516,147.13115823719107,0.14713115823719108,0.02662358051226784,1.0,500
1.0,1000,0.05,0.8,0.8080810915239756,0.006315953352889994,78.292,8.283959437849502,0.078292,0.008283959437849502,78.62923904006554,0.07862923904006554,0.004288977537906695,1.0,500
1.0,1000,0.05,0.9,0.905125118397603,0.003799872202648116,91.746,9.513911552355953,0.091746,0.009513911552355958,92.54105764831077,0.09254105764831076,0.008591404383255187,1.0,500
1.0,1000,0.05,0.95,0.9527839702344134,0.002194177444443879,101.998,9.764255084475693,0.101998,0.009764255084475695,104.02967757511148,0.10402967757511147,0.01952978825340064,1.0,500
1.0,1000,0.05,0.99,0.9907632688065104,0.0005667012464090253,122.464,10.507021414178045,0.122464,0.010507021414178048,125.5804179061513,0.1255804179061513,0.024816113516043955,1.0,500
1.0,5000,0.01,0.8,0.8037978601847534,0.002869606204753704,224.264,15.30342097005678,0.044852800000000005,0.0030606841940113557,224.00924385831817,0.044801848771663634,-0.0011372572724855242,1.0,500
1.0,5000,0.01,0.9,0.9021731022645747,0.0016273230664645367,252.414,15.247280515759277,0.050482799999999994,0.003049456103151854,255.11701595700097,0.051023403191400196,0.01059520058613649,1.0,500
1.0,5000,0.01,0.95,0.9513412342595069,0.0010489650631723098,279.022,17.00140027240239,0.055804400000000004,0.0034002800544804842,280.8063510809861,0.05616127021619721,0.006354382919464042,1.0,500
1.0,5000,0.01,0.99,0.9903335592271397,0.00025308470364813633,325.154,18.12841866038659,0.0650308,0.0036256837320773165,328.9952714266373,0.06579905428532747,0.011675764852121576,1.0,500
1.0,5000,0.05,0.8,0.8034442024381084,0.002644667590025453,175.768,13.478334727036117,0.0351536,0.0026956669454072254,175.82032351266685,0.03516406470253337,0.00029759649863835534,1.0,500
1.0,5000,0.05,0.9,0.9022322463638578,0.0017282153777897404,205.81,14.108437049935187,0.041162,0.002821687409987039,206.92809561134968,0.041385619122269936,0.005403304988848343,1.0,500
1.0,5000,0.05,0.95,0.9512641296718548,0.0010185737329653252,230.96,15.02284166005507,0.046192,0.003004568332011014,232.61743073533472,0.046523486147066945,0.007125135593215776,1.0,500
1.0,5000,0.05,0.99,0.9903402385630187,0.0002673636613863565,279.288,16.53929116693363,0.0558576,0.00330785823338673,280.8063510809861,0.05616127021619721,0.005407110897389065,1.0,500
1.0,10000,0.01,0.8,0.8024447671091601,0.0018511514517583723,316.454,17.872289205439955,0.0316454,0.001787228920543996,316.7969107613755,0.03167969107613755,0.001082430887824624,1.0,500
1.0,10000,0.01,0.9,0.9016080540667866,0.0012531001371737128,360.066,19.216247613535018,0.0360066,0.0019216247613534998,360.7899439585441,0.03607899439585441,0.002006552484808905,1.0,500
1.0,10000,0.01,0.95,0.9509059801627275,0.0006859369425363758,395.104,20.687898934513612,0.039510399999999994,0.0020687898934513603,397.12015009923135,0.039712015009923135,0.005076927218947764,1.0,500
1.0,10000,0.01,0.99,0.990235874686624,0.0001785382362444103,459.584,20.44747276033321,0.045958399999999996,0.0020447472760333216,465.26957480816816,0.04652695748081682,0.012219958312366306,1.0,500
