theta,N,alpha,lambda,psi,mean_theta_hat,sd_theta_hat,mean_b_hat,sd_b_hat,power,sd_outer_power,mean_seq_stopping_time,mean_total_stopping_time,mean_total_stopping_fraction,early_stop_prob,n_outer_success,n_inner_success
0.05,50000,0.05,0.75,0.9,0.05790640804798992,0.0020272441690963997,0.9866155160102144,0.007284998921398351,0.9492063492063493,0.07593081713833615,3823.3269841269844,48823.32698412699,0.9764665396825397,0.9603174603174603,63,630
0.1,1000,0.01,0.25,0.1,0.09863994896626638,0.1162055642356128,0.5469690751668077,0.45726623785746157,0.41776315789473684,0.34861384609290047,523.8111842105263,623.8111842105263,0.6238111842105263,0.8197368421052631,304,3040
0.1,1000,0.01,0.25,0.25,0.07599433402446024,0.09580104784796359,0.37039507073602174,0.45702744998606104,0.25136612021857924,0.3128841240932333,305.36557377049184,555.3655737704918,0.5553655737704918,0.8398907103825136,183,1830
0.1,1000,0.01,0.25,0.5,0.024957743705734503,0.04283815570030739,0.05654978716603365,0.1864830516303763,0.043243243243243246,0.10939363311896615,54.178378378378376,554.1783783783783,0.5541783783783785,0.9405405405405405,37,370
0.1,1000,0.01,0.25,0.75,0.00892011680557844,0.011928523136834002,0.03407761964089863,0.0756426043494707,0.04,0.0894427190999916,43.980000000000004,793.98,0.7939800000000001,0.8800000000000001,5,50
0.1,1000,0.01,0.25,0.9,0.009005806336379176,0.0033902438603438186,4.743169630679867e-05,9.464193149147958e-05,0.07500000000000001,0.05,1.0,901.0,0.901,1.0,4,40
0.1,1000,0.01,0.5,0.1,0.09948823645158651,0.09815610721440719,0.34282365574566487,0.4634546292997874,0.255,0.3472696249094781,305.2162,405.2162,0.4052162,0.8936000000000001,500,5000
0.1,1000,0.01,0.5,0.25,0.10088878614839368,0.06158781243164614,0.19164201701552244,0.3877484710255522,0.1306,0.25173474285748293,142.6418,392.6418,0.3926418,0.9196,500,5000
0.1,1000,0.01,0.5,0.5,0.09724350909033334,0.044320627587282134,0.014922823589116606,0.11576776126295438,0.01862348178137652,0.06693316529079209,10.551012145748988,510.551012145749,0.510551012145749,0.9906882591093117,494,4940
0.1,1000,0.01,0.5,0.75,0.062097052763778054,0.018712425133124655,8.484482232784296e-05,0.0005722393036546777,0.0071823204419889505,0.02589111638996992,1.0,751.0,0.7510000000000001,1.0,181,1810
0.1,1000,0.01,0.5,0.9,0.031247105622760417,0.010626451847539018,4.369909584965191e-05,0.00014374432965894528,0.013793103448275864,0.03509312031717982,1.0,901.0,0.901,1.0,29,290
0.1,1000,0.01,0.75,0.1,0.09244300455436211,0.09268694231509034,0.5159963891997256,0.43334430945707175,0.3812757201646091,0.32982222344677936,532.8985596707819,632.8985596707819,0.6328985596707819,0.8197530864197531,486,4860
0.1,1000,0.01,0.75,0.25,0.10102034324160623,0.06235755040942396,0.4739225192782265,0.397904255642234,0.32780000000000004,0.2856753065308988,486.02959999999996,736.0296,0.7360296,0.7694,500,5000
0.1,1000,0.01,0.75,0.5,0.10004643011071677,0.04435645896462195,0.16800368301486507,0.25656780684430225,0.1022,0.15159525798813428,269.8562,769.8562,0.7698562000000001,0.7514,500,5000
0.1,1000,0.01,0.75,0.75,0.10024795343833132,0.03651430407778663,0.002565259590850086,0.0016448178207458392,0.009,0.03067379604038361,1.196,751.196,0.7511960000000001,0.9996,500,5000
0.1,1000,0.01,0.75,0.9,0.09883030290470708,0.03322133747718551,0.0001173102648065377,0.0006281720033138795,0.009072580645161291,0.029445151445184423,1.069758064516129,901.0697580645161,0.9010697580645162,0.9993951612903226,496,4960
0.1,1000,0.05,0.25,0.1,0.10947416232856758,0.11632933029576387,0.5862689283274872,0.43697912757015217,0.5530054644808743,0.390544733687645,483.24590163934425,583.2459016393443,0.5832459016393442,0.9338797814207651,366,3660
0.1,1000,0.05,0.25,0.25,0.10033529045664821,0.08445533841093082,0.5254350924867297,0.4781882149356944,0.470954356846473,0.4025785663379123,367.05684647302905,617.056846473029,0.617056846473029,0.9066390041493776,241,2410
0.1,1000,0.05,0.25,0.5,0.07652837545164563,0.09122498934741988,0.34731259669984005,0.4526104576400162,0.287719298245614,0.3246262551208458,175.94561403508771,675.9456140350877,0.6759456140350877,0.880701754385965,57,570
0.1,1000,0.05,0.25,0.75,0.016811437176955702,0.006320662515971004,0.0005520996930845274,0.0015286685318219096,0.06000000000000001,0.06992058987801011,1.0,751.0,0.7510000000000001,1.0,10,100
